panel_id,dept,building_id,region_id,lon,lat,panel_2d_area_m2,surface_m2,tilt_degrees,azimuth_degrees,confidence,source_image,source_tile,building_link_method,region_match_method
05658843_p7963,56,,,-2.144733140933286,47.94433772253786,79.739,79.739,,,0.967,05658843.jpg,,none,none
05658861_p7964,56,,,-3.078929353471262,47.75165201266151,7.712,7.712,,,0.919,05658861.jpg,,none,none
056588624_p7965,56,,,-3.180332387603503,47.33596410863735,573.888,573.888,,,0.9887,056588624.jpg,,none,none
056588708_p7966,56,,,-3.412242536557769,47.741387137117734,6.742,6.742,,,0.9224,056588708.jpg,,none,none
056588708_p7967,56,,,-3.4121628944759514,47.74137247932319,5.552,5.552,,,0.9242,056588708.jpg,,none,none
056588804_p7968,56,,,-3.108706895466044,47.47553006123789,5.443,5.443,,,0.8533,056588804.jpg,,none,none
056588804_p7969,56,,,-3.1086549757027835,47.47552866308817,1.506,1.506,,,0.7903,056588804.jpg,,none,none
056588863_p7970,56,,,-2.8213699807675723,47.92493780269141,16.567,16.567,,,0.9539,056588863.jpg,,none,none
056588929_p7971,56,,,-3.2794449259955174,47.80022791831699,27.8,27.8,,,0.9697,056588929.jpg,,none,none
056589012_p7972,56,,,-3.239457053749839,47.79237483824472,320.916,320.916,,,0.9888,056589012.jpg,,none,none
056589012_p7973,56,,,-3.2392586928971734,47.792343874383484,327.112,327.112,,,0.9897,056589012.jpg,,none,none
056589013_p7974,56,,,-3.2325068603014944,47.79183035101915,14.63,14.63,,,0.9213,056589013.jpg,,none,none
056589028_p7975,56,,,-2.81841209915423,47.9258317820664,12.787,12.787,,,0.9748,056589028.jpg,,none,none
056589064_p7976,56,,,-3.2802739273584187,47.799915814934764,10.746,10.746,,,0.9671,056589064.jpg,,none,none
056589084_p7977,56,,,-3.2814157480685235,47.80014408010465,9.98,9.98,,,0.916,056589084.jpg,,none,none
056589348_p7978,56,,,-3.251562486519873,47.834286265730675,7.249,7.249,,,0.9279,056589348.jpg,,none,none
056589478_p7979,56,,,-3.2867746906900033,47.799448913859386,11.693,11.693,,,0.9741,056589478.jpg,,none,none
056589488_p7980,56,,,-3.2879703373362785,47.79923890726846,16.19,16.19,,,0.9386,056589488.jpg,,none,none
